asof_date,ticker,trailing_eps_dart,trailing_eps_scrape,consensus_eps_scrape,naver_sector,source_primary,forward_eps_auto,eps_growth_auto_pct
2026-04-28,005880,536.828793253571,559.0,476.0,해운사,DART,476.0,
2026-04-28,005930,7732.577940801414,6564.0,36464.0,반도체와반도체장비,DART,36464.0,
2026-04-28,005940,2894.6746174064,2888.0,3532.0,증권,DART|DAILY_DISC,3532.0,
2026-04-28,006040,8769.339989484459,8795.0,6682.0,식품,DART,6682.0,
2026-04-28,006110,-1645.694032415212,-1692.0,,비철금속,DART,-1810.2634356567328,10.0
2026-04-28,006120,8305.309969402917,6549.0,,석유와가스,DART,9135.84096634321,10.0
2026-04-28,006220,368.5325871037881,387.0,,은행,DART,405.3858458141669,10.0
2026-04-28,006260,15549.51923076923,8458.0,14858.0,전기장비,DART,14858.0,
2026-04-28,006280,-2540.115767817638,-400.0,3616.0,제약,DART,3616.0,
2026-04-28,006340,164.72041939329114,113.0,,전기장비,DART,181.19246133262027,10.0
2026-04-28,006360,1091.6262383372853,1093.0,3140.0,건설,DART|DAILY_DISC,3140.0,
2026-04-28,006380,-191.4799804847333,-191.0,,화학,DART,-210.62797853320663,10.0
2026-04-28,006400,-7257.821081948583,-8325.0,1135.0,전기제품,DART|DAILY_DISC,1135.0,
2026-04-28,006650,8599.392465846155,4878.0,12419.0,화학,DART,12419.0,
2026-04-28,006730,1789.664963901031,1206.0,712.0,"호텔,레스토랑,레저",DART,712.0,
2026-04-28,006800,2828.823607287122,2154.0,3466.0,증권,DART|DAILY_DISC,3466.0,
2026-04-28,00680K,,2154.0,3466.0,증권,SCRAPE,3466.0,
2026-04-28,006910,413.48451580042297,413.0,,전기장비,DART,454.8329673804653,10.0
2026-04-28,007070,600.8920694534091,519.0,2294.0,백화점과일반상점,DART,2294.0,
2026-04-28,007310,17998.68295012513,17271.0,,식품,DART,19798.551245137645,10.0
2026-04-28,007340,5554.27368916867,4809.0,,자동차부품,DART,6109.701058085538,10.0
2026-04-28,007390,-44.04914025371531,-44.0,,생물공학,DART,-48.45405427908684,10.0
2026-04-28,007660,2186.136344768904,2257.0,3578.0,전자장비와기기,DART,3578.0,
2026-04-28,007690,2364.6661338851627,2354.0,,화학,DART|DAILY_DISC,2601.13274727368,10.0
2026-04-28,007700,9405.895715224024,3214.0,,"섬유,의류,신발,호화품",DART,10346.485286746429,10.0
2026-04-28,007810,2243.0731565191795,1726.0,3753.0,전자장비와기기,DART,3753.0,
2026-04-28,008060,199.001512636295,101.0,,전자장비와기기,DART,218.9016638999245,10.0
2026-04-28,0082N0,,-3620.0,,제약,SCRAPE,-3982.000000000001,10.0
2026-04-28,008730,167.94407262096777,168.0,,포장재,DART,184.73847988306457,10.0
2026-04-28,008770,-4403.995544321727,-4321.0,2252.0,백화점과일반상점,DART|DAILY_DISC,2252.0,
2026-04-28,0088M0,,416.0,,건강관리장비와용품,SCRAPE,457.6,10.0
2026-04-28,008930,1721.1074393547156,1731.0,,제약,DART|DAILY_DISC,1893.2181832901872,10.0
2026-04-28,009150,9786.495465668211,9099.0,14602.0,전자장비와기기,DART,14602.0,
2026-04-28,009240,1966.5686221611625,1967.0,999.0,가구,DART,999.0,
2026-04-28,009290,428.2907790327224,400.0,,제약,DART,471.1198569359947,10.0
2026-04-28,009410,322.0178640263672,216.0,,건설,DART,354.21965042900393,10.0
2026-04-28,009420,-106.41452414880538,-106.0,151.0,제약,DART,151.0,
2026-04-28,009450,6157.003532393522,6157.0,,가정용기기와용품,DART,6772.7038856328745,10.0
2026-04-28,009520,33.89543829563609,34.0,,철강,DART,37.2849821251997,10.0
2026-04-28,009540,41377.22670003678,30639.0,47566.0,조선,DART|DAILY_DISC,47566.0,
2026-04-28,009830,-3579.457341882489,-3728.0,235.0,에너지장비및서비스,DART|DAILY_DISC,235.0,
2026-04-28,009900,1302.3581119758169,1302.0,,자동차부품,DART,1432.5939231733987,10.0
2026-04-28,009970,44925.16507132959,27133.0,,"섬유,의류,신발,호화품",DART,49417.68157846255,10.0
2026-04-28,010060,-7833.207428809669,-4772.0,13027.0,화학,DART|DAILY_DISC,13027.0,
2026-04-28,010120,1895.0448878133327,1911.0,3040.0,전기장비,DART,3040.0,
2026-04-28,010130,36901.76213513276,38514.0,65142.0,비철금속,DART,65142.0,
2026-04-28,010140,608.811062740909,620.0,1358.0,조선,DART,1358.0,
2026-04-28,010170,-179.90680153398068,-242.0,,통신장비,DART,-197.8974816873788,10.0
2026-04-28,010690,1909.724814542556,1910.0,,자동차부품,DART,2100.697295996812,10.0
2026-04-28,010780,-2379.0957638154946,-1782.0,1982.0,건설,DART,1982.0,
2026-04-28,010820,301.9529084122103,302.0,,우주항공과국방,DART,332.14819925343136,10.0
2026-04-28,010950,1571.749970457297,1518.0,10828.0,석유와가스,DART,10828.0,
2026-04-28,011070,14419.252847422376,14419.0,26048.0,전자장비와기기,DART|DAILY_DISC,26048.0,
2026-04-28,011170,-57887.83334302348,-47624.0,-13282.0,화학,DART|DAILY_DISC,-13282.0,
2026-04-28,011200,1991.7900463655,1955.0,1280.0,해운사,DART,1280.0,
2026-04-28,011210,4299.7478625088215,3641.0,7116.0,자동차부품,DART|DAILY_DISC,7116.0,
2026-04-28,011780,11564.61510311609,9843.0,12452.0,화학,DART,12452.0,
2026-04-28,011790,-18996.38190150505,-18219.0,,화학,DART|DAILY_DISC,-20896.02009165556,10.0
2026-04-28,011930,-39.80866134668366,-34.0,,반도체와반도체장비,DART,-43.789527481352025,10.0
2026-04-28,0120G0,,1861.0,,건강관리장비와용품,SCRAPE,2047.1,10.0
2026-04-28,012210,76.16069683091375,77.0,,기계,DART,83.77676651400513,10.0
2026-04-28,012330,40390.51770409755,39682.0,47937.0,자동차부품,DART|DAILY_DISC,47937.0,
2026-04-28,012450,42704.38030261037,28573.0,46112.0,우주항공과국방,DART,46112.0,
2026-04-28,012510,3036.3447477892614,2933.0,3590.0,소프트웨어,DART,3590.0,
2026-04-28,012630,6971.399814595231,5038.0,,건설,DART,7668.539796054754,10.0
2026-04-28,0126Z0,,-7803.0,,제약,SCRAPE,-8583.300000000001,10.0
2026-04-28,012750,4699.139455253479,4699.0,5211.0,상업서비스와공급품,DART|DAILY_DISC,5211.0,
2026-04-28,012860,283.9373374795075,272.0,,자동차부품,DART,312.33107122745827,10.0
2026-04-28,013030,4314.370512716364,4141.0,,기계,DART,4745.807563988001,10.0
2026-04-28,014620,1296.518863694454,1270.0,1639.0,기계,DART,1639.0,
2026-04-28,014680,13028.345038761428,12993.0,15688.0,화학,DART,15688.0,
2026-04-28,014820,1853.1409104985423,1835.0,,포장재,DART,2038.4550015483967,10.0
2026-04-28,014830,9642.876812016077,9643.0,12781.0,화학,DART|DAILY_DISC,12781.0,
2026-04-28,014940,420.0342580553272,420.0,,조선,DART,462.03768386086,10.0
2026-04-28,015360,3182.2162935779816,2930.0,,가스유틸리티,DART,3500.43792293578,10.0
2026-04-28,015750,2223.1025526625,2110.0,,자동차부품,DART,2445.41280792875,10.0
2026-04-28,015760,13500.219576928132,13311.0,14016.0,전기유틸리티,DART,14016.0,
2026-04-28,015860,1815.7691979751023,713.0,,전기장비,DART,1997.3461177726128,10.0
2026-04-28,016360,11279.13476087346,11279.0,15228.0,증권,DART|DAILY_DISC,15228.0,
2026-04-28,016380,1355.2919371863486,1350.0,,철강,DART,1490.8211309049836,10.0
2026-04-28,016590,552.6959035501176,566.0,,포장재,DART,607.9654939051294,10.0
2026-04-28,016610,2248.926010667244,1918.0,,증권,DART|DAILY_DISC,2473.8186117339687,10.0
2026-04-28,016800,3093.9279331304347,3094.0,,가구,DART,3403.320726443478,10.0
2026-04-28,017670,1746.281984482773,1901.0,5734.0,무선통신서비스,DART,5734.0,
2026-04-28,017800,6888.3638595087,6703.0,,기계,DART,7577.200245459571,10.0
2026-04-28,017810,397.6842979567289,475.0,,식품,DART,437.4527277524018,10.0
2026-04-28,017900,72.94191680302158,73.0,,전자장비와기기,DART,80.23610848332375,10.0
2026-04-28,017940,16647.301354081632,15276.0,,가스유틸리티,DART,18312.0314894898,10.0
2026-04-28,017960,1996.151009165024,1960.0,2421.0,조선,DART,2421.0,
2026-04-28,018000,-84.44266485730596,-107.0,,에너지장비및서비스,DART,-92.88693134303657,10.0
2026-04-28,018250,572.7580544215652,576.0,,화장품,DART,630.0338598637218,10.0
2026-04-28,018260,10114.90659483728,9816.0,10437.0,IT서비스,DART|DAILY_DISC,10437.0,
2026-04-28,018290,1837.4946825063985,1713.0,,화장품,DART,2021.2441507570384,10.0
2026-04-28,018670,25257.89698899586,25453.0,27168.0,가스유틸리티,DART,27168.0,
2026-04-28,018880,-192.2201044036536,-257.0,196.0,자동차부품,DART|DAILY_DISC,196.0,
2026-04-28,019170,160.04206116303698,160.0,,제약,DART,176.0462672793407,10.0
2026-04-28,019210,681.0041533615561,680.0,,기계,DART,749.1045686977118,10.0
2026-04-28,020000,2061.029523151322,2061.0,3201.0,"섬유,의류,신발,호화품",DART,3201.0,
