run_id,run_type,as_of_date,status,started_at,finished_at,warning_count,error_count,code_version
20260508192054-82b29fec,daily,2026-05-08,running,2026-05-08T19:20:54,,0,0,pipeline-v1
20260508192054-82b29fec,daily,2026-05-08,failed,2026-05-08T19:20:54,2026-05-08T19:24:07,0,1,pipeline-v1
20260508192452-aff8d183,daily,2026-05-08,running,2026-05-08T19:24:52,,0,0,pipeline-v1
20260508192452-aff8d183,daily,2026-05-08,failed,2026-05-08T19:24:52,2026-05-08T19:27:45,0,1,pipeline-v1
20260508194019-3dc1cd93,daily,2026-05-08,running,2026-05-08T19:40:19,,0,0,pipeline-v1
20260508194019-3dc1cd93,daily,2026-05-08,failed,2026-05-08T19:40:19,2026-05-08T19:43:35,0,1,pipeline-v1
20260509090335-1c12631e,daily,2026-05-09,running,2026-05-09T09:03:35,,0,0,pipeline-v1
20260509090335-1c12631e,daily,2026-05-09,failed,2026-05-09T09:03:35,2026-05-09T09:06:10,0,1,pipeline-v1
20260509091508-4d3dd6f9,daily,2026-05-09,running,2026-05-09T09:15:08,,0,0,pipeline-v1
20260509091508-4d3dd6f9,daily,2026-05-09,failed,2026-05-09T09:15:08,2026-05-09T09:18:35,0,1,pipeline-v1
20260509092005-6d285a1f,daily,2026-05-09,running,2026-05-09T09:20:05,,0,0,pipeline-v1
20260509092857-7317e51b,daily,2026-05-09,running,2026-05-09T09:28:57,,0,0,pipeline-v1
20260509092857-7317e51b,daily,2026-05-09,failed,2026-05-09T09:28:57,2026-05-09T09:32:11,0,1,pipeline-v1
20260509093259-54661e33,daily,2026-05-09,running,2026-05-09T09:32:59,,0,0,pipeline-v1
20260509093259-54661e33,daily,2026-05-09,failed,2026-05-09T09:32:59,2026-05-09T09:36:34,0,1,pipeline-v1
20260509093659-0b7fd1b9,daily,2026-05-09,running,2026-05-09T09:36:59,,0,0,pipeline-v1
20260509093659-0b7fd1b9,daily,2026-05-09,failed,2026-05-09T09:36:59,2026-05-09T09:40:21,0,1,pipeline-v1
20260509094132-6023e7d3,daily,2026-05-09,running,2026-05-09T09:41:32,,0,0,pipeline-v1
20260509094132-6023e7d3,daily,2026-05-09,failed,2026-05-09T09:41:32,2026-05-09T09:45:07,0,1,pipeline-v1
20260509094844-2532922f,daily,2026-05-09,running,2026-05-09T09:48:44,,0,0,pipeline-v1
20260509094844-2532922f,daily,2026-05-09,failed,2026-05-09T09:48:44,2026-05-09T09:52:09,0,1,pipeline-v1
20260509095406-db84ac62,daily,2026-05-09,running,2026-05-09T09:54:06,,0,0,pipeline-v1
20260509095406-db84ac62,daily,2026-05-09,success,2026-05-09T09:54:06,2026-05-09T09:57:24,0,0,pipeline-v1
