ticker,is_loss_making,eps_growth_3y_pct,target_pe_bear,target_pe_base,target_pe_bull,manual_forward_eps,max_position_pct,sector_group
000120,0.0,10.0,8.0,12.0,16.0,,3.0,항공화물운송과물류
000500,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
192820,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
003690,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
000240,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
004370,0.0,10.0,8.0,12.0,16.0,,3.0,식품
282330,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
007340,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
030000,0.0,10.0,8.0,12.0,16.0,,3.0,광고
011210,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
081660,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
018670,0.0,10.0,8.0,12.0,16.0,,3.0,가스유틸리티
005440,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
023590,0.0,10.0,8.0,12.0,16.0,,3.0,증권
007810,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
002790,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
298020,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
008770,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
395400,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
161890,0.0,10.0,8.0,12.0,16.0,,3.0,화장품
069960,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
361610,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
462870,0.0,10.0,8.0,12.0,16.0,,3.0,게임엔터테인먼트
007070,0.0,10.0,8.0,12.0,16.0,,3.0,백화점과일반상점
003540,0.0,10.0,8.0,12.0,16.0,,3.0,증권
001120,0.0,10.0,8.0,12.0,16.0,,3.0,무역회사와판매업체
005070,0.0,10.0,8.0,12.0,16.0,,3.0,화학
475150,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
003570,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
322000,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
069620,0.0,10.0,8.0,12.0,16.0,,3.0,제약
229640,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
006280,0.0,10.0,8.0,12.0,16.0,,3.0,제약
077970,0.0,10.0,8.0,12.0,16.0,,3.0,조선
006040,0.0,10.0,8.0,12.0,16.0,,3.0,식품
