trade_date,index_code,close,volume,advance_count,decline_count,data_source
20251023,KOSPI,3845.56005859375,423600,207.0,527.0,yfinance
20251024,KOSPI,3941.590087890625,426900,442.0,287.0,yfinance
20251027,KOSPI,4042.830078125,517000,508.0,224.0,yfinance
20251028,KOSPI,4010.409912109375,408200,349.0,384.0,yfinance
20251029,KOSPI,4081.14990234375,466900,332.0,403.0,yfinance
20251030,KOSPI,4086.889892578125,566500,185.0,554.0,yfinance
20251031,KOSPI,4107.5,408300,331.0,390.0,yfinance
20251103,KOSPI,4221.8701171875,472700,377.0,364.0,yfinance
20251104,KOSPI,4121.740234375,423500,357.0,378.0,yfinance
20251105,KOSPI,4004.419921875,594200,117.0,627.0,yfinance
20251106,KOSPI,4026.449951171875,423400,418.0,320.0,yfinance
20251107,KOSPI,3953.760009765625,377100,119.0,626.0,yfinance
20251110,KOSPI,4073.239990234375,339500,637.0,105.0,yfinance
20251111,KOSPI,4106.39013671875,377600,296.0,440.0,yfinance
20251112,KOSPI,4150.39013671875,334600,587.0,157.0,yfinance
20251113,KOSPI,4170.6298828125,424200,407.0,299.0,yfinance
20251114,KOSPI,4011.570068359375,400000,120.0,622.0,yfinance
20251117,KOSPI,4089.25,344100,399.0,341.0,yfinance
20251118,KOSPI,3953.6201171875,319700,76.0,674.0,yfinance
20251119,KOSPI,3929.510009765625,338200,331.0,411.0,yfinance
20251120,KOSPI,4004.85009765625,360300,614.0,129.0,yfinance
20251121,KOSPI,3853.260009765625,319300,110.0,637.0,yfinance
20251124,KOSPI,3846.06005859375,373100,270.0,473.0,yfinance
20251125,KOSPI,3857.780029296875,279300,334.0,400.0,yfinance
20251126,KOSPI,3960.8701171875,295300,660.0,92.0,yfinance
20251127,KOSPI,3986.909912109375,257900,358.0,370.0,yfinance
20251128,KOSPI,3926.590087890625,241900,547.0,193.0,yfinance
20251201,KOSPI,3920.3701171875,296900,360.0,385.0,yfinance
20251202,KOSPI,3994.929931640625,319000,534.0,195.0,yfinance
20251203,KOSPI,4036.300048828125,290900,529.0,212.0,yfinance
20251204,KOSPI,4028.510009765625,352000,235.0,505.0,yfinance
20251205,KOSPI,4100.0498046875,478500,465.0,275.0,yfinance
20251208,KOSPI,4154.85009765625,395600,318.0,422.0,yfinance
20251209,KOSPI,4143.5498046875,400600,340.0,394.0,yfinance
20251210,KOSPI,4135.0,317900,251.0,493.0,yfinance
20251211,KOSPI,4110.6201171875,539800,369.0,368.0,yfinance
20251212,KOSPI,4167.16015625,426600,519.0,225.0,yfinance
20251215,KOSPI,4090.590087890625,346800,278.0,473.0,yfinance
20251216,KOSPI,3999.1298828125,374000,134.0,619.0,yfinance
20251217,KOSPI,4056.409912109375,361000,406.0,331.0,yfinance
20251218,KOSPI,3994.510009765625,581400,151.0,596.0,yfinance
20251219,KOSPI,4020.550048828125,442700,506.0,232.0,yfinance
20251222,KOSPI,4105.93017578125,315600,556.0,188.0,yfinance
20251223,KOSPI,4117.31982421875,385800,207.0,527.0,yfinance
20251224,KOSPI,4108.6201171875,363600,267.0,471.0,yfinance
20251226,KOSPI,4129.68017578125,510200,221.0,528.0,yfinance
20251229,KOSPI,4220.56005859375,502400,389.0,358.0,yfinance
20251230,KOSPI,4214.169921875,408200,270.0,474.0,yfinance
20260102,KOSPI,4309.6298828125,406300,405.0,355.0,yfinance
20260105,KOSPI,4457.52001953125,513900,478.0,278.0,yfinance
20260106,KOSPI,4525.47998046875,498400,380.0,358.0,yfinance
20260107,KOSPI,4551.06005859375,553700,191.0,565.0,yfinance
20260108,KOSPI,4552.3701171875,440100,221.0,535.0,yfinance
20260109,KOSPI,4586.31982421875,399200,409.0,334.0,yfinance
20260112,KOSPI,4624.7900390625,394800,437.0,308.0,yfinance
20260113,KOSPI,4692.64013671875,429200,393.0,353.0,yfinance
20260114,KOSPI,4723.10009765625,550400,391.0,353.0,yfinance
20260115,KOSPI,4797.5498046875,545200,457.0,288.0,yfinance
20260116,KOSPI,4840.740234375,720900,307.0,443.0,yfinance
20260119,KOSPI,4904.66015625,570800,397.0,353.0,yfinance
20260120,KOSPI,4885.75,667700,511.0,242.0,yfinance
20260121,KOSPI,4909.93017578125,600100,186.0,566.0,yfinance
