기준일,추천순위,결합순위,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),상대강도20일,후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank
2026-04-25,33,33,SK,034730,KS,석유와가스,398500.0,349550.0,347275.0,306566.6666666667,268354.5,1,66.5914641711417,5963.223303520335,1.4869740965798848,1,8.141112618724566,19.311377245508975,19.311377245508975,49036.04766294023,43752.0,43752.0,DART,TRAILING_DART,,49036.04766294023,8.126674538273864,588432.5719552828,47.66187502014625,70.98021876309507,0,3.0,86.33921738263157,78.65971807286331,최종매수후보,2.25,BULL,1.0,7.57314004680444,상승여력 48% | 200일↑ | 20일돌파 | RSI우호 | MACD+,,79.38144329896907
2026-04-25,34,34,DB증권,016610,KS,증권,13940.0,13108.5,13752.666666666666,12249.166666666666,11051.15,1,55.464507918226836,137.43983274514895,1.1340758023023916,0,1.5294974508375914,2.8782287822878283,2.8782287822878283,2248.926010667244,,2473.8186117339687,DART|DAILY_DISC,TRAILING_DART,,2248.926010667244,6.198514283653146,26987.112128006927,93.59477853663508,93.3594778536635,0,3.0,63.536116671223304,78.4477972624434,진입대기,2.25,BULL,1.0,10.699733683069372,상승여력 94% | 200일↑ | RSI우호 | MACD+,EPS스크랩,64.43298969072166
2026-04-25,35,35,미래에셋증권2우B,00680K,KS,증권,20000.0,20082.0,19632.172119140625,15229.622371419271,12725.1616015625,1,48.60693630770784,-22.2986971466145,1.090737963976984,0,-4.30622009569378,-2.4390243902439046,-2.4390243902439046,,3466.0,3466.0,SCRAPE,CONSENSUS_SCRAPE,,3466.0,5.770340450086555,41592.0,107.96000000000001,94.796,0,3.0,61.800168785595936,78.29808439279797,진입대기,2.25,BULL,1.0,10.699733683069372,상승여력 108% | 200일↑ | RSI우호,EPS스크랩,62.11340206185567
2026-04-25,36,36,한국금융지주,071050,KS,증권,259000.0,238700.0,233930.0,200945.83333333334,178946.5,1,61.39195609443405,2118.3796099910096,0.7642147627133016,0,0.7782101167315147,17.727272727272727,17.727272727272727,36326.89033153506,36407.0,36407.0,DART,TRAILING_DART,,36326.89033153506,7.129704679818529,435922.68397842074,68.30991659398484,84.40144578609014,0,3.0,71.79184423304807,78.0966450095691,진입대기,2.25,BULL,1.0,10.699733683069372,상승여력 68% | 200일↑ | RSI우호 | MACD+,,35.6958762886598
2026-04-25,37,37,한국캐피탈,023760,KQ,기타금융,975.0,949.8,966.35,882.4416666666667,848.48,1,52.496981200229676,4.127121144008688,0.4921819933314845,0,-1.0152284263959421,0.8273009307135482,0.8273009307135482,318.5000031811456,,350.3500034992602,DART,TRAILING_DART,,318.5000031811456,3.06122445922072,3822.0000381737473,292.0000039152561,100.0,0,3.0,56.13008357859219,78.06504178929609,진입대기,2.25,BULL,1.0,6.6952381083861985,상승여력 292% | 200일↑ | RSI우호 | MACD+,,12.11340206185567
2026-04-25,38,38,태영건설,009410,KS,건설,2025.0,1958.0,1821.7333333333333,1742.5666666666666,1856.685,1,54.5590491483828,-0.6025417659249399,0.3610577605778292,0,-2.877697841726623,10.234077299945564,10.234077299945564,322.0178640263672,,354.21965042900393,DART,TRAILING_DART,,322.0178640263672,6.288471001826752,3864.2143683164063,90.8254009045139,93.08254009045139,0,3.0,62.771851450337095,77.92719577039423,진입대기,2.25,BULL,1.0,10.126848544904743,상승여력 91% | 200일↑ | RSI우호,,5.798969072164948
2026-04-25,39,39,삼천리,004690,KS,가스유틸리티,144000.0,137085.0,142306.66666666666,134554.16666666666,135045.5,1,58.31633210768776,895.9857031122201,1.8186331656396606,0,4.347826086956519,-2.1739130434782594,-2.1739130434782594,32386.00962090246,,35624.61058299271,DART,TRAILING_DART,,32386.00962090246,4.446364392699373,388632.1154508295,169.8834135075205,100.0,0,3.0,55.71473185302554,77.85736592651277,진입대기,2.25,BULL,1.0,6.145140153597196,상승여력 170% | 200일↑ | 거래량x1.8 | RSI우호 | MACD+,,84.92268041237114
2026-04-25,40,40,유진투자증권,001200,KS,증권,5130.0,4849.25,4797.75,4169.666666666667,3942.675,1,56.955101397058726,25.222629409891255,0.9476916204574263,1,2.39520958083832,3.427419354838701,3.427419354838701,666.2604596053093,,732.8865055658403,DART|DAILY_DISC,TRAILING_DART,,666.2604596053093,7.6996915035885465,7995.125515263711,55.850399907674685,76.30275993998853,0,3.0,79.01575264898001,77.65925629448427,최종매수후보,2.25,BULL,1.0,10.699733683069372,상승여력 56% | 200일↑ | 20일돌파 | RSI우호 | MACD+,EPS스크랩,52.448453608247426
2026-04-25,41,41,다우기술,023590,KS,증권,48150.0,47072.5,49731.666666666664,44172.5,40756.0,1,50.14483350745765,210.08372712898836,0.9406681425091742,0,-2.923387096774188,-0.31055900621117516,-0.31055900621117516,26705.72355943469,,29376.29591537816,DART,TRAILING_DART,,26705.72355943469,1.8029842888488001,320468.6827132163,565.5632039734503,100.0,0,3.0,54.84895153371291,77.42447576685646,진입대기,2.25,BULL,1.0,10.699733683069372,상승여력 566% | 200일↑ | RSI우호 | MACD+,,51.546391752577314
2026-04-25,42,42,영원무역홀딩스,009970,KS,"섬유,의류,신발,호화품",211000.0,214050.0,220110.0,199969.16666666666,173936.5,1,46.533083289288705,229.38755331686025,1.1386245812475322,0,0.0,-5.1685393258426915,-5.1685393258426915,44925.16507132959,,49417.68157846255,DART,TRAILING_DART,,44925.16507132959,4.696699492700502,539101.980855955,155.49856912604506,99.54985691260451,0,3.0,54.48980751298127,77.01983221279289,진입대기,2.25,BULL,1.0,7.756921109950797,상승여력 155% | 200일↑ | RSI우호 | MACD+,,65.20618556701031
