기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,기술점수,시장상태,레짐비중배수,date,market_regime,regime_weight_multiplier,sector_group
2026-05-06,덕산네오룩스,213420,KQ,디스플레이장비및부품,52500.0,51590.0,46526.666666666664,42407.083333333336,42784.25,1,54.17702073086443,-316.8175852765046,0.9573869618646645,0,-3.136531365313655,20.274914089347075,2172.965939394179,2949.0,2949.0,DART,TRAILING_DART,,2172.965939394179,24.16052596509495,26075.591272730147,-50.33220709956163,5.0,72.10178600206368,BULL,1.0,2026-05-06,BULL,1.0,디스플레이장비및부품
2026-05-06,브이엠,089970,KQ,반도체와반도체장비,56800.0,51675.0,43386.666666666664,35272.5,27348.05,1,64.49329174164549,-7.037705902550442,0.9095687896064789,0,1.610017889087656,42.17772215269087,1070.455589380418,2812.0,2812.0,DART,TRAILING_DART,,1070.455589380418,53.06151937874972,12845.467072565014,-77.38474106942779,5.0,73.26071534493519,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,네이처셀,007390,KQ,생물공학,19880.0,19910.0,20039.833333333332,21411.5,22415.85,0,51.274992761853255,-36.60703432141975,1.233819695007805,0,-1.0945273631840835,17.633136094674562,-44.04914025371531,,-48.45405427908684,DART,TRAILING_DART,,-44.04914025371531,-451.3141433747559,-528.5896830445837,-102.65890182618,5.0,29.98211466076281,BULL,1.0,2026-05-06,BULL,1.0,생물공학
2026-05-06,세미파이브,490470,KQ,반도체와반도체장비,45600.0,36322.5,29820.0,,,0,66.64355496294601,947.2289702102507,0.49560498844123224,0,21.27659574468086,87.65432098765432,-1660.43124528926,,-1826.4743698181865,DART,TRAILING_DART,,-1660.43124528926,-27.46274507262487,-19925.17494347112,-143.69555908655946,5.0,46.91301608466214,BULL,1.0,2026-05-06,BULL,1.0,반도체와반도체장비
2026-05-06,피엔티,137400,KQ,전기제품,57900.0,54505.0,51358.333333333336,46366.25,42915.0,1,60.65609263547931,109.83317310497478,0.925851953120841,0,-0.8561643835616417,22.92993630573248,2934.368050530148,,3227.804855583164,DART,TRAILING_DART,,2934.368050530148,19.73167612342947,35212.416606361774,-39.18408185429746,5.713928377489722,74.1872457767977,BULL,1.0,2026-05-06,BULL,1.0,전기제품
2026-05-06,케이엠더블유,032500,KQ,통신장비,30750.0,29440.0,25271.666666666668,20423.5,17621.1,1,55.24786758432436,-142.21973120340294,0.7291654612585421,0,2.6711185308847973,12.226277372262784,-651.524399344982,,-716.6768392794803,DART,TRAILING_DART,,-651.524399344982,-47.197004488112626,-7818.292792139784,-125.42534241346273,5.0,71.84690101935885,BULL,1.0,2026-05-06,BULL,1.0,통신장비
2026-05-06,하이젠알앤엠,160190,KQ,기계,42800.0,40877.5,50337.5,54959.583333333336,49447.5,0,49.42296101141865,993.1229986151288,1.3642788019626961,0,-6.753812636165579,27.380952380952372,-229.9128583268584,,-252.90414415954424,DART,TRAILING_DART,,-229.9128583268584,-186.15748728221567,-2758.954299922301,-106.44615490636052,5.0,25.959291800122354,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,클로봇,466100,KQ,기계,49750.0,47772.5,55765.0,55607.5,43884.9,1,48.98109217797498,760.4480683677018,0.5636286338505784,0,-8.547794117647056,21.19366626065773,-138.30958782679625,,-152.14054660947588,DART,TRAILING_DART,,-138.30958782679625,-359.7002983068783,-1659.715053921555,-103.33611066114885,5.0,47.14369514767375,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,아이티센글로벌,124500,KQ,IT서비스,60200.0,51682.5,53723.333333333336,41375.0,32065.45,1,60.955842571845054,1382.8073066826337,1.089614161735693,0,11.481481481481492,29.184549356223165,8545.071342544496,,9399.578476798946,DART,TRAILING_DART,,8545.071342544496,7.0449967691052695,102540.85611053395,70.33364802414278,85.7168712156928,73.09355579878093,BULL,1.0,2026-05-06,BULL,1.0,IT서비스
2026-05-06,CJ ENM,035760,KQ,방송과엔터테인먼트,53000.0,54305.0,61991.666666666664,63127.5,66254.0,0,35.39333445631536,290.2998171687241,1.2931842504877462,0,-3.985507246376807,0.7604562737642651,775.8476348882406,3197.0,3197.0,DART,TRAILING_DART,,775.8476348882406,68.3123819893252,9310.171618658887,-82.4336384553606,5.0,16.765471054085033,BULL,1.0,2026-05-06,BULL,1.0,방송과엔터테인먼트
