날짜,추천순위,종목명,종목코드,시장,결합액션,투자사유약,거래량비율20일,20일돌파,200일선상단여부,RSI14,종합지수,주의사항
2026-05-09,98,이지홀딩스,035810,KQ,진입_관심,상승잠재 133% | 200일선상단 | MACD+,0.6385285435788666,0,1,,87.5,EPS스크래핑
2026-05-09,99,KG이니시스,035600,KQ,진입_관심,상승잠재 126% | 200일선상단,1.0554517549713065,0,1,,87.5,EPS스크래핑
2026-05-09,102,세아제강지주,003030,KS,진입_관심,상승잠재 38% | 200일선상단,1.1228805000690998,0,1,,87.5,EPS스크래핑
2026-05-09,103,CJ대한통운,000120,KS,진입_관심,상승잠재 35% | 200일선상단 | MACD+,0.6462326626705397,0,1,,87.5,EPS스크래핑
2026-05-09,104,신한지주,055550,KS,진입_관심,상승잠재 31% | 200일선상단,1.1606870094448811,0,1,,87.5,EPS스크래핑
2026-05-09,105,선익시스템,171090,KQ,진입_관심,상승잠재 24% | 200일선상단,0.3480786301105102,0,1,,87.5,EPS스크래핑
2026-05-09,106,HD한국조선해양,009540,KS,진입_관심,200일선상단 | MACD+,1.3080738408496264,0,1,,87.31380542047603,EPS스크래핑
2026-05-09,107,미코,059090,KQ,진입_관심,상승잠재 11% | 200일선상단 | MACD+,0.4482743458359153,0,1,,86.23381494694846,EPS스크래핑
2026-05-09,108,삼성화재,000810,KS,추천_매수진입,200일선상단 | 20일돌파 | MACD+,1.022543762626426,1,1,,86.02130206984336,EPS스크래핑
2026-05-09,111,코스메카코리아,241710,KQ,진입_관심,상승잠재 903725917% | 200일선상단,1.0213164147011586,0,1,,85.0,EPS스크래핑
2026-05-09,112,금호타이어,073240,KS,진입_관심,상승잠재 181% | 200일선상단,1.2055872459511294,0,1,,85.0,EPS스크래핑
2026-05-09,113,대한해운,005880,KS,진입_관심,상승잠재 153% | 200일선상단,0.2191989594006249,0,1,,85.0,EPS스크래핑
2026-05-09,114,한화생명,088350,KS,진입_관심,상승잠재 141% | 200일선상단,1.0555861129803965,0,1,,85.0,EPS스크래핑
2026-05-09,115,태영건설,009410,KS,진입_관심,상승잠재 97% | 200일선상단,0.4139890371979451,0,1,,85.0,EPS스크래핑
2026-05-09,116,DB손해보험,005830,KS,진입_관심,상승잠재 88% | 200일선상단,1.062627688897262,0,1,,85.0,EPS스크래핑
2026-05-09,117,JB금융지주,175330,KS,진입_관심,상승잠재 79% | 200일선상단,1.0469606071374065,0,1,,85.0,EPS스크래핑
2026-05-09,118,우리금융지주,316140,KS,진입_관심,상승잠재 61% | 200일선상단,1.2308469868515086,0,1,,85.0,EPS스크래핑
2026-05-09,120,유비쿼스홀딩스,078070,KQ,진입_관심,상승잠재 48% | 200일선상단,0.3504182057020447,0,1,,85.0,EPS스크래핑
2026-05-09,121,풍산홀딩스,005810,KS,진입_관심,상승잠재 42% | 200일선상단,0.219877606405345,0,1,,85.0,EPS스크래핑
