기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,결합액션,거래량비율20일,20일돌파,200일선상단여부,RSI14,종합점수,판단코멘트
2026-04-28,44,다우기술,023590,KS,우선검토,비밸류평가,진입대기,0.6899961753749083,0,1,49.14199288691118,75.80495964592883,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,45,케이프,064820,KQ,우선검토,비밸류평가,진입대기,1.056286909805331,0,1,75.03658285251517,75.7277402942081,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,46,넥센타이어,002350,KS,우선검토,비밸류평가,진입대기,1.619987016355494,0,1,56.123393998101314,75.67638804101018,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,47,KG이니시스,035600,KQ,우선검토,비밸류평가,진입대기,1.0629152253990617,0,1,62.20307332669622,75.6205012075099,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,48,SK,034730,KS,우선검토,비밸류평가,최종매수후보,0.947535969539028,1,1,70.35598058382023,75.41862308231964,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,49,효성,004800,KS,우선검토,비밸류평가,최종매수후보,8.734138643764556,1,1,82.868277396192,75.05747588654245,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
2026-04-28,50,영원무역홀딩스,009970,KS,우선검토,비밸류평가,진입대기,1.0998827117053718,0,1,43.15218331303044,74.92707814076647,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,51,코리안리,003690,KS,우선검토,비밸류평가,진입대기,1.3206921725770184,1,1,54.54458687532606,74.60958961721187,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,52,DB손해보험,005830,KS,우선검토,비밸류평가,진입대기,0.764051036470888,0,1,52.03377499887698,74.58094537897618,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,53,현대해상,001450,KS,우선검토,비밸류평가,진입대기,1.193367803652785,0,1,52.75084235027064,74.04867599118825,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,54,폰드그룹,472850,KQ,우선검토,비밸류평가,진입대기,2.131243851472306,1,1,66.29558496634439,74.02794825276811,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,55,SNT홀딩스,036530,KS,우선검토,비밸류평가,진입대기,0.6204815268573933,0,1,54.32153754493328,73.88169503553999,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,56,유진투자증권,001200,KS,우선검토,비밸류평가,진입대기,32.391179242920714,1,1,75.90042846591366,73.6889603756685,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,57,하나금융지주,086790,KS,우선검토,비밸류평가,진입대기,1.3264386061045184,1,1,67.44937438280157,72.94403855407738,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,58,하림지주,003380,KQ,우선검토,비밸류평가,진입대기,0.911511803397144,0,1,43.047767060679085,72.918908761907,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,59,F&F홀딩스,007700,KS,우선검토,비밸류평가,진입대기,0.9050507876011818,0,1,56.56993636408583,72.88938595402439,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,60,BNK금융지주,138930,KS,우선검토,비밸류평가,진입대기,0.6809954140469219,0,1,54.036459326613226,72.0192813761528,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,61,NICE,034310,KS,우선검토,비밸류평가,진입대기,0.5289449236894492,1,1,53.96189426627463,71.5964667896362,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,62,메가스터디교육,215200,KQ,우선검토,비밸류평가,진입대기,1.2521990405471284,0,1,53.15998536505405,71.49558971869787,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,63,에스엘,005850,KS,우선검토,비밸류평가,진입대기,1.7509566348050851,1,1,60.50496803391475,71.07489172722899,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,64,이지홀딩스,035810,KQ,우선검토,비밸류평가,진입대기,1.7951958852224716,0,1,39.12349809647106,70.91781832095899,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,65,이노션,214320,KS,우선검토,비밸류평가,진입대기,0.7527829424898566,1,1,67.56091158620616,69.96468814821769,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,67,현대그린푸드,453340,KS,우선검토,비밸류평가,진입대기,0.3773618665903235,0,1,56.8104029859169,69.90635659541218,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,68,에이스침대,003800,KQ,우선검토,비밸류평가,진입대기,0.8348605866357522,0,1,52.11735003012805,69.60305555503582,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,71,BGF,027410,KS,우선검토,비밸류평가,진입대기,0.5210971180573686,0,1,60.328911513439714,68.69516592525594,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,72,기업은행,024110,KS,우선검토,비밸류평가,진입대기,1.235981795099978,0,1,49.65832257483404,68.3969301788944,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,73,현대홈쇼핑,057050,KS,우선검토,비밸류평가,진입대기,0.8954146989705135,0,1,59.98836716601868,68.1559383428488,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,74,미코,059090,KQ,우선검토,비밸류평가,진입대기,0.6064110514918805,0,1,65.32911393724822,67.56586458879556,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,75,유비쿼스홀딩스,078070,KQ,우선검토,비밸류평가,진입대기,0.2796129921079203,0,1,50.97535369723082,67.14148622590734,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,77,서부T&D,006730,KQ,우선검토,비밸류평가,진입대기,1.4584946755560313,0,1,60.708004182132015,66.82484801135061,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,78,현대차,005380,KS,우선검토,비밸류평가,진입대기,2.7978981014418585,1,1,59.81855644870137,66.7345349122257,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,79,우리금융지주,316140,KS,우선검토,비밸류평가,진입대기,1.2084014658668534,0,1,46.23146194258148,66.35586064754514,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,80,세아홀딩스,058650,KS,우선검토,비밸류평가,진입대기,1.3558331507049457,0,1,52.52715082427793,66.16452021382644,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,81,유안타증권,003470,KS,우선검토,비밸류평가,진입대기,4.452465416540113,1,1,67.90560785172549,66.15782933339229,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,82,명신산업,009900,KS,우선검토,비밸류평가,진입대기,2.0236583439657325,0,1,69.74003863340391,65.91478505804831,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,83,유니드,014830,KS,우선검토,비밸류평가,진입대기,1.1866799303535271,0,1,62.49069879722431,65.80489145884204,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,84,수산인더스트리,126720,KS,우선검토,비밸류평가,진입대기,1.0959781259578238,0,1,69.93717162844564,65.29663596134729,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,85,한국타이어앤테크놀로지,161390,KS,우선검토,비밸류평가,진입대기,0.6307931662601727,0,1,54.207771857603376,65.19729649247525,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,88,에스에이엠티,031330,KQ,우선검토,비밸류평가,진입대기,0.6525633499745865,0,1,71.82347297914393,65.14332420911578,추세는 양호하지만 확인이 더 필요합니다.
2026-04-28,89,기아,000270,KS,우선검토,비밸류평가,진입대기,1.5930789594577672,0,1,49.26921604105871,65.03536040041726,추세는 양호하지만 확인이 더 필요합니다.
