추천순위,결합순위,날짜,종목명,종목코드,시장,섹터그룹,종가,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,최근EPS(DART),컨센서스EPS(스크래),향후예상EPS,EPS출처,모델EPS,정정가_기본,상승잠재(%),발휘지수,기술지수,종합지수,적자여부,최대비중(%),결합액션,포트비중(%),마켓레짐,레짐비중배수,투자사유약,주의사항
28,28,2026-05-09,휴온스글로벌,084110,KQ,제약,64800.0,53122.25,1,,215.7148531871044,2.037373360559177,0,6462.7802546356925,,7109.058280099262,TRAILING_DART,6462.7802546356925,77553.36305562832,19.681115826586915,99.20278956646727,100.0,99.60139478323364,0,3.0,진입_관심,2.9800697391616824,NEUTRAL,1.0,상승잠재 20% | 200일선상단 | 거래량상승2.0x | MACD+,EPS스크래핑
29,29,2026-05-09,케이씨,029460,KS,반도체와반도체장비,39600.0,28049.5,1,,68.04229154712175,1.0309066744664583,1,3919.13736649628,,4311.051103145908,TRAILING_DART,3919.13736649628,47029.64839795536,18.76173837867514,96.90434594668784,100.0,98.45217297334392,0,3.0,추천_매수진입,2.922608648667196,NEUTRAL,1.0,상승잠재 19% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
30,30,2026-05-09,이노션,214320,KS,광고,20200.0,18757.7,1,,114.45850352506044,0.9856324188106224,1,108971717082.0,2562.0,2562.0,TRAILING_DART,108971717082.0,1307660604984.0,6473567251.405941,100.0,95.0,97.5,0,3.0,추천_매수진입,2.875,NEUTRAL,1.0,상승잠재 6473567251% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
31,31,2026-05-09,대신증권,003540,KS,증권,39300.0,30993.75,1,,121.68760423433956,0.9718242495348942,0,186726503000.0,,4173.10325732369,TRAILING_DART,186726503000.0,2240718036000.0,5701572510.687022,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 5701572511% | 200일선상단 | MACD+,EPS스크래핑
32,32,2026-05-09,롯데렌탈,089860,KS,도로와철도운송,33250.0,31210.5,1,,-102.5730701586636,1.7339467632161432,0,126714957828.0,4267.0,4267.0,TRAILING_DART,126714957828.0,1520579493936.0,4573171310.333835,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 4573171310% | 200일선상단 | 거래량상승1.7x,EPS스크래핑
33,33,2026-05-09,한국콜마,161890,KS,화장품,93600.0,75870.5,1,,-107.69401583863235,2.591298910820011,1,168220449431.0,6209.0,6209.0,TRAILING_DART,168220449431.0,2018645393172.0,2156672328.602564,100.0,95.0,97.5,0,3.0,추천_매수진입,2.875,NEUTRAL,1.0,상승잠재 2156672329% | 200일선상단 | 20일돌파 | 거래량상승2.6x,EPS스크래핑
34,34,2026-05-09,네오팜,092730,KQ,화장품,20150.0,18430.3,1,,23.506514706536564,0.77460385493727,0,27822878316.0,,1909.4826024400195,TRAILING_DART,27822878316.0,333874539792.0,1656945506.9081886,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 1656945507% | 200일선상단 | MACD+,EPS스크래핑
35,35,2026-05-09,KG케미칼,001390,KS,자동차,6110.0,5238.4,1,,5.021614142737349,0.5712681176031735,0,3628.948809580648,,3991.843690538713,TRAILING_DART,3628.948809580648,43547.38571496777,612.7231704577378,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 613% | 200일선상단 | MACD+,EPS스크래핑
36,36,2026-05-09,KCC,002380,KS,건축자재,606000.0,448952.5,1,,5657.687380179677,0.7863871830220998,0,173127.92396137904,60152.0,60152.0,TRAILING_DART,173127.92396137904,2077535.0875365485,242.8275722007506,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 243% | 200일선상단 | MACD+,EPS스크래핑
37,37,2026-05-09,성우하이텍,015750,KQ,자동차부품,9100.0,7167.65,1,,-7.112955164529723,1.862462628893129,0,2223.1025526625,,2445.41280792875,TRAILING_DART,2223.1025526625,26677.23063195,193.1563805708791,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 193% | 200일선상단 | 거래량상승1.9x,EPS스크래핑
38,38,2026-05-09,제이에스코퍼레이션,194370,KS,"섬유,의류,신발,호화품",14400.0,11757.45,1,,47.55325840933688,0.5415619112926556,0,2955.336888945347,,3250.8705778398817,TRAILING_DART,2955.336888945347,35464.04266734416,146.2780740787789,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 146% | 200일선상단 | MACD+,EPS스크래핑
39,39,2026-05-09,LX홀딩스,383800,KS,무역회사와판매업체,9000.0,8308.65,1,,21.39822887807918,0.6423306368814996,0,1777.57962074019,,1955.337582814209,TRAILING_DART,1777.57962074019,21330.95544888228,137.010616098692,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 137% | 200일선상단 | MACD+,EPS스크래핑
40,40,2026-05-09,KG스틸,016380,KS,철강,7170.0,5640.375,1,,112.42508671548882,0.6609080314948349,1,1355.2919371863486,,1490.8211309049836,TRAILING_DART,1355.2919371863486,16263.503246236183,126.8271024579663,100.0,95.0,97.5,0,3.0,추천_매수진입,2.875,NEUTRAL,1.0,상승잠재 127% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
41,41,2026-05-09,E1,017940,KS,가스유틸리티,102300.0,87051.0,1,,237.82413564681883,0.4295127472645933,0,16647.301354081632,,18312.0314894898,TRAILING_DART,16647.301354081632,199767.61624897958,95.27626221796635,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 95% | 200일선상단 | MACD+,EPS스크래핑
42,42,2026-05-09,세방전지,004490,KS,자동차부품,64400.0,64150.5,1,,94.6213976730828,0.8735794065293508,0,10204.202214502164,,11224.62243595238,TRAILING_DART,10204.202214502164,122450.42657402597,90.14041393482294,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 90% | 200일선상단 | MACD+,EPS스크래핑
43,43,2026-05-09,미래에셋증권2우B,00680K,KS,증권,22900.0,13231.941020507811,1,,271.38501198402906,0.9049514713604196,0,,3466.0,3466.0,CONSENSUS_SCRAPE,3466.0,41592.0,81.62445414847161,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 82% | 200일선상단 | MACD+,EPS스크래핑
44,44,2026-05-09,아이티센글로벌,124500,KQ,IT서비스,58100.0,32429.45,1,,1136.3518879813846,0.7078930854661047,0,8545.071342544496,,9399.578476798946,TRAILING_DART,8545.071342544496,102540.85611053395,76.49028590453347,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 76% | 200일선상단 | MACD+,EPS스크래핑
45,45,2026-05-09,NICE,034310,KS,IT서비스,14340.0,13650.225,1,,83.71849987821764,0.5233960329291567,0,2083.1976860451964,,2291.5174546497165,TRAILING_DART,2083.1976860451964,24998.37223254236,74.32616619625077,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 74% | 200일선상단 | MACD+,EPS스크래핑
46,46,2026-05-09,한국금융지주,071050,KS,증권,268500.0,183799.0,1,,1163.3928311889397,0.5905016347793847,0,36326.89033153506,36407.0,36407.0,TRAILING_DART,36326.89033153506,435922.68397842074,62.35481712417905,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 62% | 200일선상단 | MACD+,EPS스크래핑
47,47,2026-05-09,한국단자,025540,KS,자동차부품,90200.0,68996.5,1,,281.90836137940096,0.6887947151938177,0,10494.880672268908,,11544.3687394958,TRAILING_DART,10494.880672268908,125938.5680672269,39.621472358344676,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 40% | 200일선상단 | MACD+,EPS스크래핑
48,48,2026-05-09,하나금융지주,086790,KS,은행,126500.0,98948.0,1,,147.65842169840744,0.8484383543139234,0,14712.50913937596,15539.0,15539.0,TRAILING_DART,14712.50913937596,176550.10967251152,39.56530408894192,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 40% | 200일선상단 | MACD+,EPS스크래핑
49,49,2026-05-09,영원무역,111770,KS,"섬유,의류,신발,호화품",84500.0,75270.0,1,,39.53977326010883,1.1007606223046564,0,9619.42136579632,13371.0,13371.0,TRAILING_DART,9619.42136579632,115433.05638955583,36.60716732491813,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 37% | 200일선상단 | MACD+,EPS스크래핑
50,50,2026-05-09,DN오토모티브,007340,KS,자동차부품,51100.0,28335.25,1,,1024.3438391550026,0.9468877186723268,1,5554.27368916867,,6109.701058085538,TRAILING_DART,5554.27368916867,66651.28427002404,30.433041624313194,100.0,95.0,97.5,0,3.0,추천_매수진입,2.875,NEUTRAL,1.0,상승잠재 30% | 200일선상단 | 20일돌파 | MACD+,EPS스크래핑
51,51,2026-05-09,유진투자증권,001200,KS,증권,6170.0,4034.7,1,,89.96790180743642,0.6754171515562671,0,666.2604596053093,,732.8865055658403,TRAILING_DART,666.2604596053093,7995.125515263711,29.58064044187538,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 30% | 200일선상단 | MACD+,EPS스크래핑
52,52,2026-05-09,수산인더스트리,126720,KS,에너지장비및서비스,33500.0,24308.0,1,,236.6515718274281,0.6554070692344074,0,3418.2857781744365,,3760.114355991881,TRAILING_DART,3418.2857781744365,41019.429338093236,22.446057725651446,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 22% | 200일선상단 | MACD+,EPS스크래핑
53,53,2026-05-09,명신산업,009900,KS,자동차부품,12800.0,9361.85,1,,51.52652655123404,0.9091695724109448,0,1302.3581119758169,,1432.5939231733987,TRAILING_DART,1302.3581119758169,15628.297343709803,22.09607299773284,100.0,95.0,97.5,0,3.0,진입_관심,2.875,NEUTRAL,1.0,상승잠재 22% | 200일선상단 | MACD+,EPS스크래핑
54,54,2026-05-09,KB금융,105560,KS,은행,161700.0,130898.0,1,,-24.12286449459043,1.0979816420269717,1,15665.033853854356,16924.0,16924.0,TRAILING_DART,15665.033853854356,187980.40624625227,16.25257034400265,90.63142586000664,100.0,95.31571293000331,0,3.0,추천_매수진입,2.7657856465001656,NEUTRAL,1.0,상승잠재 16% | 200일선상단 | 20일돌파,EPS스크래핑
