trade_date,ticker,open,high,low,close,adj_close,volume,value_traded,data_source,market,stale_flag
20250728,005930,68200.0,70400.0,67200.0,70400.0,69604.171875,35332500,2487408000000.0,yfinance,KS,1
20250729,005930,70800.0,70800.0,68800.0,70600.0,69801.90625,28190940,1990280364000.0,yfinance,KS,1
20250730,005930,71000.0,73700.0,70600.0,72600.0,71779.3046875,34761444,2523680834400.0,yfinance,KS,1
20250731,005930,73000.0,74000.0,71000.0,71400.0,70592.8671875,26568072,1896960340800.0,yfinance,KS,1
20250801,005930,70200.0,72000.0,68800.0,68900.0,68121.125,24038534,1656254992600.0,yfinance,KS,1
20250804,005930,69500.0,70200.0,68700.0,69700.0,68912.0859375,14780072,1030171018400.0,yfinance,KS,1
20250805,005930,71000.0,71500.0,69700.0,69900.0,69109.8203125,14392903,1006063919700.0,yfinance,KS,1
20250806,005930,69200.0,69400.0,68300.0,68800.0,68022.2578125,12542415,862918152000.0,yfinance,KS,1
20250807,005930,70800.0,71000.0,69700.0,70500.0,69703.0390625,15008213,1058079016500.0,yfinance,KS,1
20250808,005930,71000.0,72400.0,70700.0,71800.0,70988.3515625,22241128,1596912990400.0,yfinance,KS,1
20250811,005930,72000.0,72100.0,70800.0,71000.0,70197.390625,11354253,806151963000.0,yfinance,KS,1
20250812,005930,71100.0,72400.0,71100.0,71100.0,70296.2578125,15797656,1123213341600.0,yfinance,KS,1
20250813,005930,71900.0,72100.0,71400.0,71900.0,71087.2109375,12305742,884782849800.0,yfinance,KS,1
20250814,005930,71900.0,71900.0,71200.0,71600.0,70790.609375,11946122,855342335200.0,yfinance,KS,1
20250818,005930,71100.0,71200.0,70000.0,70000.0,69208.6875,13595591,951691370000.0,yfinance,KS,1
20250819,005930,70400.0,70700.0,69700.0,70000.0,69208.6875,10533082,737315740000.0,yfinance,KS,1
20250820,005930,70100.0,70700.0,69400.0,70500.0,69703.0390625,17445516,1229908878000.0,yfinance,KS,1
20250821,005930,71500.0,71900.0,70600.0,70600.0,69801.90625,18843833,1330374609800.0,yfinance,KS,1
20250822,005930,71700.0,71800.0,70800.0,71400.0,70592.8671875,9277432,662408644800.0,yfinance,KS,1
20250825,005930,71700.0,71800.0,71000.0,71500.0,70691.7421875,10345178,739680227000.0,yfinance,KS,1
20250826,005930,70800.0,71100.0,70300.0,70300.0,69505.3046875,14712519,1034290085700.0,yfinance,KS,1
20250827,005930,70100.0,70900.0,69800.0,70600.0,69801.90625,10523405,742952393000.0,yfinance,KS,1
20250828,005930,70100.0,70400.0,69600.0,69600.0,68813.21875,11578024,805830470400.0,yfinance,KS,1
20250829,005930,70100.0,70500.0,69700.0,69700.0,68912.0859375,11682267,814254009900.0,yfinance,KS,1
20250901,005930,68400.0,68600.0,67500.0,67600.0,66835.828125,12002343,811358386800.0,yfinance,KS,1
20250902,005930,67800.0,69500.0,67800.0,69100.0,68318.8671875,10604028,732738334800.0,yfinance,KS,1
20250903,005930,69200.0,69800.0,68800.0,69800.0,69010.953125,10283009,717754028200.0,yfinance,KS,1
20250904,005930,69500.0,70100.0,69300.0,70100.0,69307.5703125,12284414,861137421400.0,yfinance,KS,1
20250905,005930,70300.0,70400.0,69500.0,69500.0,68714.3515625,11526724,801107318000.0,yfinance,KS,1
20250908,005930,69800.0,70500.0,69600.0,70100.0,69307.5703125,9263135,649345763500.0,yfinance,KS,1
20250909,005930,70100.0,71500.0,70000.0,71500.0,70691.7421875,14870245,1063222517500.0,yfinance,KS,1
20250910,005930,71800.0,72800.0,71600.0,72600.0,71779.3046875,21928565,1592013819000.0,yfinance,KS,1
20250911,005930,73200.0,73600.0,72100.0,73400.0,72570.2578125,20793501,1526242973400.0,yfinance,KS,1
20250912,005930,74600.0,75600.0,74200.0,75400.0,74547.6484375,28219678,2127763721200.0,yfinance,KS,1
20250915,005930,77200.0,77600.0,75900.0,76500.0,75635.2109375,19908805,1523023582500.0,yfinance,KS,1
20250916,005930,76900.0,79500.0,76700.0,79400.0,78502.4375,28218265,2240530241000.0,yfinance,KS,1
20250917,005930,79100.0,79100.0,77100.0,78200.0,77315.9921875,20856317,1630963989400.0,yfinance,KS,1
20250918,005930,79100.0,80500.0,78600.0,80300.0,79392.2578125,25619035,2057208510500.0,yfinance,KS,1
20250922,005930,81500.0,84000.0,81100.0,83500.0,82556.0859375,27529656,2298726276000.0,yfinance,KS,1
20250923,005930,85800.0,85900.0,83600.0,84700.0,83742.5234375,23610263,1999789276100.0,yfinance,KS,1
20250924,005930,84200.0,85500.0,83700.0,85400.0,84434.609375,18300997,1562905143800.0,yfinance,KS,1
20250925,005930,84400.0,86200.0,84100.0,86100.0,85126.6953125,19665151,1693169501100.0,yfinance,KS,1
20250926,005930,85000.0,85300.0,82400.0,83300.0,82358.34375,24071193,2005130376900.0,yfinance,KS,1
20250929,005930,83300.0,85000.0,83200.0,84200.0,83619.59375,13069094,1100417714800.0,yfinance,KS,1
20250930,005930,84600.0,84900.0,83400.0,83900.0,83321.6640625,16319061,1369169217900.0,yfinance,KS,1
20251001,005930,84900.0,86200.0,84700.0,86000.0,85407.1875,22039361,1895385046000.0,yfinance,KS,1
20251002,005930,89300.0,90300.0,88700.0,89750.0,89131.3359375,49883028,4477001763000.0,yfinance,KS,1
20251010,005930,94000.0,94500.0,92700.0,94400.0,93749.28125,35269748,3329464211200.0,yfinance,KS,1
20251013,005930,91300.0,93400.0,90700.0,93300.0,92656.8671875,23883308,2228312636400.0,yfinance,KS,1
20251014,005930,95300.0,96000.0,90200.0,91600.0,90968.5859375,35545235,3255943526000.0,yfinance,KS,1
20251015,005930,92300.0,95300.0,92100.0,95000.0,94345.1484375,21050111,1999760545000.0,yfinance,KS,1
20251016,005930,95300.0,97700.0,95000.0,97700.0,97026.5390625,28141060,2749381562000.0,yfinance,KS,1
20251017,005930,97200.0,99100.0,96700.0,97900.0,97225.1640625,22730809,2225346201100.0,yfinance,KS,1
20251020,005930,97900.0,98300.0,96000.0,98100.0,97423.78125,17589756,1725555063600.0,yfinance,KS,1
20251021,005930,98500.0,99900.0,97300.0,97500.0,96827.9140625,22803830,2223373425000.0,yfinance,KS,1
20251022,005930,97100.0,98600.0,95500.0,98600.0,97920.328125,15937611,1571448444600.0,yfinance,KS,1
20251023,005930,96800.0,98500.0,96300.0,96500.0,95834.8125,18488581,1784148066500.0,yfinance,KS,1
20251024,005930,97900.0,99000.0,97700.0,98800.0,98118.953125,18801925,1857630190000.0,yfinance,KS,1
20251027,005930,101300.0,102000.0,100600.0,102000.0,101296.8984375,22169970,2261336940000.0,yfinance,KS,1
20251028,005930,100900.0,101000.0,99100.0,99500.0,98814.1328125,20002282,1990227059000.0,yfinance,KS,1
20251029,005930,100200.0,101000.0,99100.0,100500.0,99807.234375,20899788,2100428694000.0,yfinance,KS,1
20251030,005930,102400.0,105800.0,102000.0,104100.0,103382.421875,34570017,3598738769700.0,yfinance,KS,1
20251031,005930,105000.0,108600.0,103300.0,107500.0,106758.984375,54824564,5893640630000.0,yfinance,KS,1
20251103,005930,106900.0,111500.0,106500.0,111100.0,110334.1640625,30110066,3345228332600.0,yfinance,KS,1
20251104,005930,111800.0,112400.0,104900.0,104900.0,104176.90625,30450281,3194234476900.0,yfinance,KS,1
20251105,005930,101000.0,102000.0,96700.0,100600.0,99906.546875,44843020,4511207812000.0,yfinance,KS,1
20251106,005930,103700.0,103800.0,98800.0,99200.0,98516.1953125,28655689,2842644348800.0,yfinance,KS,1
20251107,005930,96400.0,100300.0,96300.0,97900.0,97225.1640625,22908083,2242701325700.0,yfinance,KS,1
20251110,005930,98600.0,101000.0,97900.0,100600.0,99906.546875,23842327,2398538096200.0,yfinance,KS,1
20251111,005930,103700.0,106000.0,102000.0,103500.0,102786.5546875,27742542,2871353097000.0,yfinance,KS,1
20251112,005930,103000.0,103900.0,101600.0,103100.0,102389.3125,19413497,2001531540700.0,yfinance,KS,1
20251113,005930,102500.0,104200.0,102300.0,102800.0,102091.3828125,20838741,2142222574800.0,yfinance,KS,1
20251114,005930,99000.0,99600.0,97200.0,97200.0,96529.984375,21806342,2119576442400.0,yfinance,KS,1
20251117,005930,99800.0,101000.0,99500.0,100600.0,99906.546875,17192584,1729573950400.0,yfinance,KS,1
20251118,005930,99800.0,100900.0,97500.0,97800.0,97125.8515625,18684068,1827301850400.0,yfinance,KS,1
20251119,005930,97100.0,97500.0,94600.0,96500.0,95834.8125,18993346,1832857889000.0,yfinance,KS,1
20251120,005930,100900.0,102900.0,99500.0,100600.0,99906.546875,25360435,2551259761000.0,yfinance,KS,1
20251121,005930,95600.0,96800.0,94500.0,94800.0,94146.5234375,23103574,2190218815200.0,yfinance,KS,1
20251124,005930,97800.0,99000.0,96200.0,96700.0,96033.4296875,29831172,2884674332400.0,yfinance,KS,1
20251125,005930,101400.0,101400.0,97800.0,99300.0,98615.5078125,16110054,1599728362200.0,yfinance,KS,1
20251126,005930,100500.0,102900.0,99300.0,102800.0,102091.3828125,21314975,2191179430000.0,yfinance,KS,1
20251127,005930,104100.0,105500.0,102700.0,103500.0,102786.5546875,16453004,1702885914000.0,yfinance,KS,1
20251128,005930,103800.0,103800.0,100500.0,100500.0,99807.234375,15292277,1536873838500.0,yfinance,KS,1
20251201,005930,102000.0,102800.0,99900.0,100800.0,100105.171875,10905526,1099277020800.0,yfinance,KS,1
20251202,005930,101200.0,103500.0,101000.0,103400.0,102687.2421875,13649487,1411356955800.0,yfinance,KS,1
20251203,005930,104700.0,105500.0,104000.0,104500.0,103779.6640625,14697927,1535933371500.0,yfinance,KS,1
20251204,005930,103900.0,105100.0,103200.0,105100.0,104375.5234375,11931145,1253963339500.0,yfinance,KS,1
20251205,005930,105300.0,108400.0,104600.0,108400.0,107652.78125,19755571,2141503896400.0,yfinance,KS,1
20251208,005930,109700.0,110000.0,108000.0,109500.0,108745.1953125,15527762,1700289939000.0,yfinance,KS,1
20251209,005930,108900.0,109400.0,107300.0,108400.0,107652.78125,13671800,1482023120000.0,yfinance,KS,1
20251210,005930,108300.0,109800.0,107400.0,108000.0,107255.5390625,12365092,1335429936000.0,yfinance,KS,1
20251211,005930,109200.0,110500.0,107300.0,107300.0,106560.359375,22994507,2467310601100.0,yfinance,KS,1
20251212,005930,107100.0,108900.0,106800.0,108900.0,108149.328125,14210314,1547503194600.0,yfinance,KS,1
20251215,005930,105300.0,105800.0,104600.0,104800.0,104077.59375,20594654,2158319739200.0,yfinance,KS,1
20251216,005930,104900.0,105600.0,102700.0,102800.0,102091.3828125,18852079,1937993721200.0,yfinance,KS,1
20251217,005930,103500.0,108100.0,103400.0,107900.0,107156.21875,22297611,2405912226900.0,yfinance,KS,1
20251218,005930,106400.0,108200.0,105700.0,107600.0,106858.2890625,20445631,2199949895600.0,yfinance,KS,1
20251219,005930,109700.0,109700.0,106200.0,106300.0,105567.25,25917098,2754987517400.0,yfinance,KS,1
20251222,005930,109700.0,110500.0,109300.0,110500.0,109738.3046875,24859171,2746938395500.0,yfinance,KS,1
20251223,005930,110900.0,112500.0,110400.0,111500.0,110731.40625,20419187,2276739350500.0,yfinance,KS,1
20251224,005930,112400.0,112400.0,110900.0,111100.0,110334.1640625,12492939,1387965522900.0,yfinance,KS,1
20251226,005930,112400.0,117000.0,112400.0,117000.0,116193.5,34018174,3980126358000.0,yfinance,KS,1
20251229,005930,119400.0,119700.0,118200.0,119500.0,119253.171875,19676004,2351282478000.0,yfinance,KS,1
20251230,005930,119100.0,121200.0,118700.0,119900.0,119652.34375,19746349,2367587245100.0,yfinance,KS,1
20260102,005930,120200.0,128500.0,120200.0,128500.0,128234.578125,30463279,3914531351500.0,yfinance,KS,1
