기준일,추천순위,종목명,종목코드,시장,선정의견,선정핵심근거,선택신호,선택신호_신뢰도,선택신호_5일승률(%),선택신호_기대값5일(%),선택신호_발생건수,거래량비율20일,거래량신호점수,거래량백분위(시장내%),거래량판정,과거거래량신호_5일승률(%),과거거래량신호_기대값5일(%),20일돌파,200일선상단여부,RSI14,종합점수,최종판단점수,초보자설명,판단코멘트
2026-04-25,22,한화3우B,00088K,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.89배(보통, 시장내 상위 47%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.8880898178807948,5.181753992987925,46.77835051546392,보통,,,0,1,57.25726066764848,82.47247912927207,57.730735390490445,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,23,LF,093050,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.48배(약함, 시장내 상위 11%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.4752402893277095,0.0,11.34020618556701,약함,,,0,1,60.89101292360595,82.41333163493826,57.68933214445678,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,24,성우하이텍,015750,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.90배(보통, 시장내 상위 48%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.8965015561746169,5.676562127918639,48.06701030927835,보통,,,0,1,51.88673341267214,82.14832628543772,57.5038283998064,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,25,오리온홀딩스,001800,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.89배(보통, 시장내 상위 46%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.8857259467071614,5.042702747480082,46.391752577319586,보통,,,0,1,56.700128425598066,82.05618082576999,57.43932657803899,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,26,화신,010690,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.92배(보통, 시장내 상위 49%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.9157566098884935,6.809212346381968,49.48453608247423,보통,,,0,1,54.588497874957326,81.2134365956305,56.84940561694135,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,27,DN오토모티브,007340,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.93배(보통, 시장내 상위 51%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,0.931038615413873,7.70815384787488,50.644329896907216,보통,,,1,1,64.06793900839867,81.04847939789309,56.733935578525156,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,28,DB손해보험,005830,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.94배(보통, 시장내 상위 52%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,0.9447108768834018,8.512404522553046,51.932989690721655,보통,,,1,1,53.56166412438455,80.69988370229252,56.48991859160476,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,30,GS,078930,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.68배(약함, 시장내 상위 28%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.6835125807954583,0.0,28.221649484536083,약함,,,0,1,62.71554726679754,80.1164902460598,56.08154317224185,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,31,iM금융지주,139130,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.53배(약함, 시장내 상위 14%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.5321675461315825,0.0,14.04639175257732,약함,,,0,1,64.83186828832555,79.23481149516199,55.464368046613394,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,39,삼천리,004690,KS,관찰후진입,"신호:거래량급증_1.8배 (과거5일 승률 51.1%, 기대값 2.22%) | 거래량:1.82배(강함, 시장내 상위 85%) | 추세:200일선 상단 / 돌파:없음",거래량급증_1.8배,높음,51.12699639361155,2.217569944802564,15528.0,1.8186331656396606,59.919597978803566,84.92268041237114,강함,51.12699639361155,2.217569944802564,0,1,58.31633210768776,77.85736592651277,55.38718412647996,성과는 플러스 구간이지만 변동성이 있습니다. 비중을 낮춰 접근이 좋습니다.,신호:거래량급증_1.8배
2026-04-25,32,INVENI,015360,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.95배(보통, 시장내 상위 53%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.9482694772466794,8.721733955687021,52.57731958762887,보통,,,0,1,52.05380542106012,79.07387684450603,55.35171379115422,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,33,SK,034730,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.49배(관심증가, 시장내 상위 79%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,1.4869740965798848,40.41024097528734,79.38144329896907,관심증가,,,1,1,66.5914641711417,78.65971807286331,55.061802651004314,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,34,DB증권,016610,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.13배(보통, 시장내 상위 64%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.1340758023023916,19.65151778249362,64.43298969072166,보통,,,0,1,55.464507918226836,78.4477972624434,54.91345808371038,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,35,미래에셋증권2우B,00680K,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:1.09배(보통, 시장내 상위 62%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,1.090737963976984,17.10223317511671,62.11340206185567,보통,,,0,1,48.60693630770784,78.29808439279797,54.80865907495858,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,36,한국금융지주,071050,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.76배(약함, 시장내 상위 36%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.7642147627133016,0.0,35.6958762886598,약함,,,0,1,61.39195609443405,78.0966450095691,54.66765150669837,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,37,한국캐피탈,023760,KQ,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.49배(약함, 시장내 상위 12%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.4921819933314845,0.0,12.11340206185567,약함,,,0,1,52.496981200229676,78.06504178929609,54.64552925250726,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,38,태영건설,009410,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.36배(약함, 시장내 상위 6%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.3610577605778292,0.0,5.798969072164948,약함,,,0,1,54.5590491483828,77.92719577039423,54.54903703927596,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,40,유진투자증권,001200,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.95배(보통, 시장내 상위 52%) | 추세:200일선 상단 / 돌파:있음",해당없음,통계없음,,,,0.9476916204574263,8.687742379848602,52.448453608247426,보통,,,1,1,56.955101397058726,77.65925629448427,54.36147940613898,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
2026-04-25,41,다우기술,023590,KS,관찰후진입,"신호:해당없음 (과거5일 승률 통계부족, 기대값 통계부족) | 거래량:0.94배(보통, 시장내 상위 52%) | 추세:200일선 상단 / 돌파:없음",해당없음,통계없음,,,,0.9406681425091742,8.274596618186715,51.546391752577314,보통,,,0,1,50.14483350745765,77.42447576685646,54.19713303679952,현재 강한 매수신호는 없습니다. 추세와 거래량이 함께 확인될 때까지 관찰이 유리합니다.,신호부재
