date,name,ticker,market,sector_group,close,ma20,ma60,ma120,ma200,above_ma200,RSI14,macd_hist,volume_ratio_20d,breakout_20d_high,return_5d,return_20d,trailing_eps_dart,consensus_eps_scrape,forward_eps_auto,source_primary,eps_source_used,manual_forward_eps,expected_eps,pe_now,fair_price_base,upside_base_pct,valuation_score,technical_score,market_regime,regime_weight_multiplier
2026-05-09,삼성중공업,010140,KS,조선,31950.0,30945.0,28852.5,27770.416666666668,25318.7,1,62.645914396887164,27.490074311280978,1.1250521720743807,0,-3.1818181818181857,12.897526501766787,608.811062740909,1358.0,1358.0,DART|DAILY_DISC,TRAILING_DART,,608.811062740909,52.47933547094055,7305.732752890908,-77.13385679846351,0.0,100.0,NEUTRAL,1.0
2026-05-09,LG화학,051910,KS,화학,429500.0,383950.0,343408.3333333333,348783.3333333333,332445.0,1,77.90697674418604,3965.745466973509,0.916598985123944,1,5.39877300613496,24.67343976777938,-13840.920395573214,-3822.0,-3822.0,DART|DAILY_DISC,TRAILING_DART,,-13840.920395573214,-31.031173341432435,-166091.04474687856,-138.67079039508232,0.0,95.0,NEUTRAL,1.0
2026-05-09,한화시스템,272210,KS,우주항공과국방,115900.0,127030.0,127196.66666666667,96331.66666666667,79884.25,1,27.605633802816897,-1489.1334532898886,0.9960592626946122,0,-1.8628281117696877,-11.255742725880546,1107.0609349578194,1603.0,1603.0,DART|DAILY_DISC,TRAILING_DART,,1107.0609349578194,104.69161754354195,13284.731219493833,-88.53776426273181,0.0,65.0,NEUTRAL,1.0
2026-05-09,현대로템,064350,KS,우주항공과국방,223000.0,230775.0,212690.0,204784.16666666666,204807.5,1,53.53982300884957,-459.138610843087,1.1033519935669138,0,-15.530303030303028,7.9903147699757815,7059.519988278054,8562.0,8562.0,DART|DAILY_DISC,TRAILING_DART,,7059.519988278054,31.58854998219132,84714.23985933665,-62.011551632584464,0.0,85.0,NEUTRAL,1.0
2026-05-09,카카오,035720,KS,양방향미디어와서비스,46000.0,48032.5,50795.0,55265.0,57479.0,0,20.886075949367083,-178.51099745047475,2.288144059546171,0,-4.958677685950407,-3.866248693834906,1169.206374540987,1485.0,1485.0,DART,TRAILING_DART,,1169.206374540987,39.34292610922422,14030.476494491846,-69.49896414240904,0.0,60.0,NEUTRAL,1.0
2026-05-09,SK이노베이션,096770,KS,석유와가스,134700.0,132685.0,122603.33333333333,116760.0,114516.0,1,58.40163934426229,173.23526781997225,0.8286082110281779,0,-10.08010680907877,11.877076411960141,-32158.24770071228,995.0,995.0,DART,TRAILING_DART,,-32158.24770071228,-4.188661063053399,-385898.97240854736,-386.4877300731606,0.0,95.0,NEUTRAL,1.0
2026-05-09,두산,000150,KS,복합기업,1735000.0,1494000.0,1219016.6666666667,1037600.0,878790.0,1,83.55704697986577,25465.09912376228,0.9123410090255512,0,10.368956743002556,44.102990033222596,15407.777095419337,19872.0,19872.0,DART,TRAILING_DART,,15407.777095419337,112.60547120167047,184893.32514503202,-89.3433241991336,0.0,85.0,NEUTRAL,1.0
2026-05-09,삼성화재,000810,KS,손해보험,499000.0,474500.0,489891.6666666667,491104.1666666667,476057.5,1,53.62903225806451,3667.3768821478916,1.022543762626426,1,7.543103448275867,6.623931623931623,45249.75315523456,44013.0,44013.0,DART,TRAILING_DART,,45249.75315523456,11.027684466877028,542997.0378628147,8.817041655874691,72.04260413968673,100.0,NEUTRAL,1.0
2026-05-09,SK텔레콤,017670,KS,무선통신서비스,93500.0,96415.0,84391.66666666667,70641.66666666667,64349.5,1,44.73684210526316,-1191.6440892770902,0.9030832911021628,0,-2.1966527196652708,5.0561797752809,1746.281984482773,5734.0,5734.0,DART,TRAILING_DART,,1746.281984482773,53.542326400219686,20955.383813793276,-77.58782479808207,0.0,70.0,NEUTRAL,1.0
2026-05-09,포스코퓨처엠,003670,KS,화학,290000.0,247700.0,224765.0,215000.0,193447.0,1,75.87548638132296,4548.63390642979,0.7487612281429501,0,11.111111111111116,33.33333333333333,410.6064444784725,313.0,313.0,DART|DAILY_DISC,TRAILING_DART,,410.6064444784725,706.2724024420525,4927.27733374167,-98.30093885043391,0.0,85.0,NEUTRAL,1.0
2026-05-09,HD현대,267250,KS,조선,289000.0,273100.0,266941.6666666667,240542.5,206181.0,1,64.15094339622641,1929.7259630971494,1.1269446205398195,0,-3.9867109634551534,15.139442231075705,46529.16929374261,19327.0,19327.0,DART|DAILY_DISC,TRAILING_DART,,46529.16929374261,6.211157525197116,558350.0315249113,93.2007029497963,100.0,100.0,NEUTRAL,1.0
2026-05-09,LG전자,066570,KS,전자제품,154100.0,131610.0,121820.0,107965.83333333333,96563.5,1,72.26624405705229,2448.0064224540447,1.379872799862169,1,13.475699558173782,32.047986289631524,7492.412487484298,9479.0,9479.0,DART,TRAILING_DART,,7492.412487484298,20.56747412898267,89908.94984981159,-41.65545110330202,0.0,100.0,NEUTRAL,1.0
2026-05-09,HMM,011200,KS,해운사,20600.0,20952.5,21013.5,20539.083333333332,21242.65,0,41.66666666666667,-28.533157047582165,0.8330240426828179,0,-0.7228915662650603,-0.2421307506053294,1991.7900463655,1280.0,1280.0,DART,TRAILING_DART,,1991.7900463655,10.342455540226066,23901.480556386,16.02660464265049,90.06651160662622,50.0,NEUTRAL,1.0
2026-05-09,메리츠금융지주,138040,KS,湲고?,112400.0,115225.0,117708.33333333333,113968.33333333333,115526.0,0,32.044198895027634,-383.26628482799015,1.0248659446366983,0,-1.316944688323085,-4.340425531914893,,,,,FORWARD_AUTO,,,,,,,55.0,NEUTRAL,1.0
2026-05-09,현대건설,000720,KS,건설,164000.0,172050.0,155161.66666666666,117470.83333333333,95693.5,1,34.151329243353786,-2080.4953107268843,0.6610029508437482,0,-2.7283511269276417,-13.089560148383683,5020.557310167103,4318.0,4318.0,DART|DAILY_DISC,TRAILING_DART,,5020.557310167103,32.66569623015447,60246.68772200524,-63.264214803655335,0.0,70.0,NEUTRAL,1.0
2026-05-09,KT&G,033780,KS,담배,181000.0,172995.0,165165.0,154870.83333333334,147478.5,1,69.68503937007874,240.92028866973124,1.2600333003326716,1,2.5495750708215192,14.195583596214512,9612.384457183936,11414.0,11414.0,DART,TRAILING_DART,,9612.384457183936,18.829875230877533,115348.61348620724,-36.27148426176395,0.0,100.0,NEUTRAL,1.0
2026-05-09,LIG디펜스앤에어로스페이스,079550,KS,우주항공과국방,840000.0,929900.0,743616.6666666666,594079.1666666666,564130.0,1,46.126126126126124,-18935.255710292695,1.1269799243455003,0,-13.223140495867769,0.8403361344537785,10794.524381636364,17024.0,17024.0,DART,TRAILING_DART,,10794.524381636364,77.81723124633517,129534.29257963636,-84.57925088337662,0.0,85.0,NEUTRAL,1.0
2026-05-09,한국항공우주,047810,KS,우주항공과국방,166800.0,181655.0,180290.0,154481.66666666666,131709.0,1,29.98266897746967,-1432.1704348107733,0.8565347445215173,0,0.30066145520144527,-12.394957983193278,1921.6456556852,3750.0,3750.0,DART|DAILY_DISC,TRAILING_DART,,1921.6456556852,86.80060213313585,23059.7478682224,-86.17521111017842,0.0,65.0,NEUTRAL,1.0
