추천순위,결합순위,기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,적자여부,최대비중(%),기술점수,종합점수,결합액션,권장비중(%),마켓레짐,레짐비중배수,섹터PER상한,핵심요약,주의표시,volume_ratio_pct_rank,선정의견,판단코멘트
21,21,2026-04-28,HD현대,267250,KS,조선,280500.0,257350.0,260750.0,236367.5,201188.0,1,60.88115070168801,4117.746732080466,1.1255478671762322,0,9.14396887159532,17.364016736401666,46529.16929374261,19327.0,19327.0,DART|DAILY_DISC,TRAILING_DART,,46529.16929374261,6.028476421514847,558350.0315249113,99.05526970585072,93.90552697058507,0,3.0,71.94588424208678,82.92570560633592,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,66.3659793814433,우선검토,추세는 양호하지만 확인이 더 필요합니다.
22,22,2026-04-28,인화정공,101930,KQ,조선,10400.0,9993.5,9223.0,9732.833333333334,9415.45,1,58.723576681195134,-16.553081672368933,0.0,0,8.67293625914316,2.564102564102555,2769.102616062893,,3046.0128776691827,DART,TRAILING_DART,,2769.102616062893,3.7557293614444336,33229.231392754715,219.51184031494918,100.0,0,3.0,65.56167204842761,82.78083602421381,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,0.3221649484536082,우선검토,추세는 양호하지만 확인이 더 필요합니다.
23,23,2026-04-28,한화,000880,KS,복합기업,129100.0,124315.0,122321.66666666669,106980.83333333331,99624.0,1,55.72441806994109,548.9428488843091,0.7131678205420283,0,-1.072796934865905,20.541549953314654,26569.28508732171,10406.0,10406.0,DART,TRAILING_DART,,26569.28508732171,4.858994119552119,318831.4210478605,146.9646948472971,98.6964694847297,0,3.0,66.52985382723213,82.61316165598092,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,27.706185567010312,우선검토,추세는 양호하지만 확인이 더 필요합니다.
24,24,2026-04-28,한화생명,088350,KS,생명보험,4975.0,4774.0,4680.916666666667,3915.5,3681.15,1,55.57061828534332,13.793382554844593,0.943639428214036,0,2.1560574948665368,12.302483069977432,962.9131981624124,,1059.2045179786537,DART,TRAILING_DART,,962.9131981624124,5.16661315837617,11554.95837794895,132.2604699085216,97.22604699085215,0,3.0,67.85790343584782,82.54197521334999,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,51.15979381443299,우선검토,추세는 양호하지만 확인이 더 필요합니다.
25,25,2026-04-28,LF,093050,KS,"섬유,의류,신발,호화품",25500.0,25160.0,22811.5,20422.83333333333,19746.95,1,59.47334485762441,-99.3502869367626,0.3899625069884002,0,-2.6717557251908386,5.371900826446274,4019.376897024624,,4421.314586727087,DART,TRAILING_DART,,4019.376897024624,6.344266948162184,48232.52276429549,89.14714809527644,92.91471480952764,0,3.0,71.76927097573211,82.34199289262988,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,5.798969072164948,우선검토,추세는 양호하지만 확인이 더 필요합니다.
26,26,2026-04-28,농심홀딩스,072710,KS,식품,97700.0,94995.0,94721.66666666669,93267.5,91575.5,1,58.65361673703512,313.385116132049,0.9556712033359372,1,1.983298538622136,7.362637362637359,24705.90139764845,,27176.49153741329,DART,TRAILING_DART,,24705.90139764845,3.954520761153012,296470.8167717814,203.45017069783157,100.0,0,3.0,64.06334861695548,82.03167430847773,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,53.22164948453608,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
27,27,2026-04-28,KCC,002380,KS,건축자재,553000.0,524525.0,532433.3333333334,477833.3333333333,441322.5,1,55.39316743482304,3460.2483001235523,0.7239969758710387,0,-0.3603603603603567,14.730290456431527,173127.92396137904,60152.0,60152.0,DART,TRAILING_DART,,173127.92396137904,3.194169879397167,2077535.0875365485,275.6844642923234,100.0,0,3.0,63.90115583213524,81.95057791606762,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,28.865979381443296,우선검토,추세는 양호하지만 확인이 더 필요합니다.
28,28,2026-04-28,한화3우B,00088K,KS,복합기업,48800.0,47995.0,48230.833333333336,44275.833333333336,41685.25,1,51.66360784839474,180.9380598452541,1.1424227934210882,0,-2.594810379241519,15.366430260047292,,10406.0,10406.0,SCRAPE,CONSENSUS_SCRAPE,,10406.0,4.689602152604267,124872.0,155.88524590163934,99.58852459016393,0,3.0,61.70198549278316,80.64525504147355,진입대기,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,67.91237113402062,우선검토,추세는 양호하지만 확인이 더 필요합니다.
29,29,2026-04-28,삼천리,004690,KS,가스유틸리티,145200.0,137410.0,142753.33333333334,134887.5,135073.0,1,59.66980925687228,1275.63718586852,0.6178669462390644,1,5.600000000000005,4.460431654676267,32386.00962090246,,35624.61058299271,DART,TRAILING_DART,,32386.00962090246,4.4834174293052005,388632.1154508295,167.65297207357403,100.0,0,3.0,61.1081185071425,80.55405925357125,최종매수후보,2.4000000000000004,NEUTRAL,0.8,,비밸류평가,EPS없음,19.587628865979383,우선검토,점수와 추세가 양호합니다. 분할 접근을 고려할 수 있습니다.
30,30,2026-04-28,DB증권,016610,KS,증권,14190.0,13303.5,13817.666666666666,12316.916666666666,11109.8,1,57.92061190418473,129.58551004707093,1.3634448831547157,0,1.7934002869440355,18.744769874477,2248.926010667244,,2473.8186117339687,DART|DAILY_DISC,TRAILING_DART,,2248.926010667244,6.309678456602449,26987.112128006927,90.18401781541175,93.01840178154117,0,3.0,66.92586671799133,79.97213424976624,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,77.19072164948454,우선검토,추세는 양호하지만 확인이 더 필요합니다.
31,31,2026-04-28,오리온홀딩스,001800,KS,식품,24550.0,24097.5,23835.0,22021.25,21668.95,1,52.849581326782,50.581925408755325,1.1028083028083029,0,-0.8080808080808133,6.739130434782603,5391.900149862508,,5931.09016484876,DART,TRAILING_DART,,5391.900149862508,4.553125858724594,64702.801798350105,163.5552008079434,100.0,0,3.0,59.86268824679488,79.93134412339744,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,64.0463917525773,우선검토,추세는 양호하지만 확인이 더 필요합니다.
32,32,2026-04-28,LX홀딩스,383800,KS,무역회사와판매업체,9220.0,8432.0,8542.0,8338.083333333334,8324.8,1,64.0592467611855,128.50912822365177,0.941626556375572,0,8.47058823529412,16.70886075949367,1777.57962074019,,1955.337582814209,DART,TRAILING_DART,,1777.57962074019,5.186828141155647,21330.95544888228,131.355265172259,97.1355265172259,0,3.0,62.558496202819406,79.84701136002265,진입대기,1.8,NEUTRAL,0.8,,비밸류평가,EPS없음,50.38659793814433,우선검토,추세는 양호하지만 확인이 더 필요합니다.
