as_of_date,ticker,name,market,sector_group,position_status,entry_date,entry_price,current_price,current_weight_pct,target_weight_pct,initial_stop_price,trailing_stop_price,days_held,total_score,combined_action,reason_code,brief_reason,warn_flags,portfolio_weight_pct
2026-04-30,006730,서부T&D,KQ,"호텔,레스토랑,레저",보유,2026-04-28,14840.0,,0.0,0.0,13356.0,14265.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,059090,미코,KQ,반도체와반도체장비,보유,2026-04-28,21150.0,,0.0,0.0,19035.0,19932.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,027410,BGF,KS,화학,보유,2026-04-28,5100.0,,0.0,0.0,4590.0,4770.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,057050,현대홈쇼핑,KS,인터넷과카탈로그소매,보유,2026-04-28,87000.0,,0.0,0.0,78300.0,78300.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,078070,유비쿼스홀딩스,KQ,통신장비,보유,2026-04-28,16240.0,,0.0,0.0,14616.0,14616.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,003690,코리안리,KS,손해보험,보유,2026-04-28,12620.0,,0.0,0.0,11358.0,11358.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,031330,에스에이엠티,KQ,전자장비와기기,보유,2026-04-28,7230.0,,0.0,0.0,6507.0,6507.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,014830,유니드,KS,화학,보유,2026-04-28,91600.0,,0.0,0.0,82440.0,88200.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,004490,세방전지,KS,자동차부품,보유,2026-04-28,66100.0,,0.0,0.0,60812.0,60812.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,023590,다우기술,KS,증권,보유,2026-04-28,47900.0,,0.0,0.0,44068.0,44068.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,001200,유진투자증권,KS,증권,청산,2026-04-28,6280.0,,0.0,0.0,5652.0,5652.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,032190,다우데이타,KQ,증권,보유,2026-04-28,24100.0,,0.0,0.0,22172.0,22172.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,036530,SNT홀딩스,KS,자동차부품,보유,2026-04-28,63000.0,,0.0,0.0,56700.0,57510.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,002350,넥센타이어,KS,자동차부품,보유,2026-04-28,7720.0,,0.0,0.0,7102.400000000001,7102.400000000001,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,073240,금호타이어,KS,자동차부품,보유,2026-04-28,6120.0,,0.0,0.0,5630.400000000001,5630.400000000001,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,007700,F&F홀딩스,KS,"섬유,의류,신발,호화품",보유,2026-04-28,19650.0,,0.0,0.0,17685.0,17685.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,009900,명신산업,KS,자동차부품,보유,2026-04-28,13530.0,,0.0,0.0,12177.0,12478.4,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,316140,우리금융지주,KS,은행,보유,2026-04-28,33500.0,,0.0,0.0,30150.0,30150.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,126720,수산인더스트리,KS,에너지장비및서비스,보유,2026-04-28,33750.0,,0.0,0.0,30375.0,30375.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,000270,기아,KS,자동차,보유,2026-04-28,155600.0,,0.0,0.0,140040.0,140040.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005850,에스엘,KS,자동차부품,보유,2026-04-28,66000.0,,0.0,0.0,59400.0,59400.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,161390,한국타이어앤테크놀로지,KS,자동차부품,보유,2026-04-28,62200.0,,0.0,0.0,55980.0,55980.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,003470,유안타증권,KS,증권,보유,2026-04-28,5540.0,,0.0,0.0,4986.0,4986.0,0,,,NO_SIGNAL,보유중,,0.0
2026-04-30,005380,현대차,KS,자동차,보유,2026-04-28,555000.0,,0.0,0.0,499500.0,499500.0,0,,,NO_SIGNAL,보유중,,0.0
